Datetime,B.3A,B.10,B.8A,B.9,B.11
04/01/2012 01:00,45.9,9.005,45.9,52.315,17.58
04/01/2012 02:00,46.4,9.005,46.4,52.315,17.58
04/01/2012 03:00,44.06,9.005,44.06,52.315,17.58
04/01/2012 04:00,43.16,9.005,43.16,52.765,17.58
04/01/2012 05:00,44.06,9.005,44.06,53.215,17.58
04/01/2012 06:00,44.51,9.005,44.51,53.215,17.58
04/01/2012 07:00,44.96,9.095,44.96,53.215,17.58
04/01/2012 08:00,44.96,9.095,44.96,52.765,17.58
04/01/2012 09:00,44.96,9.095,44.96,52.315,17.58
04/01/2012 10:00,44.96,9.185,44.96,51.865,17.58
04/01/2012 11:00,44.96,9.185,44.96,51.415,17.58
04/01/2012 12:00,44.96,9.275,44.96,51.415,17.58
04/01/2012 13:00,44.96,9.275,44.96,51.415,17.58
04/01/2012 14:00,44.96,9.365,44.96,51.415,17.58
04/01/2012 15:00,44.96,9.365,44.96,51.865,17.58
04/01/2012 16:00,44.96,9.455,44.96,51.865,17.58
04/01/2012 17:00,44.96,9.455,44.96,51.865,17.58
04/01/2012 18:00,44.96,9.455,44.96,51.865,17.58
04/01/2012 19:00,44.96,9.55,44.96,51.865,17.58
04/01/2012 20:00,44.96,9.55,44.96,51.865,17.31
04/01/2012 21:00,45.41,9.55,45.41,51.865,17.31
04/01/2012 22:00,45.41,9.65,45.41,52.315,17.31
04/01/2012 23:00,45.41,9.65,45.41,52.315,17.31
04/01/2012 00:00,45.41,9.65,45.41,52.315,17.31
04/02/2012 01:00,45.41,9.75,45.41,52.315,17.31
04/02/2012 02:00,45.41,9.75,45.41,52.315,17.31
04/02/2012 03:00,45.41,9.75,45.41,52.315,17.31
04/02/2012 04:00,45.41,9.75,45.41,52.765,17.31
04/02/2012 05:00,45.41,9.85,45.41,52.765,17.31
04/02/2012 06:00,45.41,9.85,45.41,52.765,17.31
04/02/2012 07:00,45.41,9.85,45.41,52.765,17.31
04/02/2012 08:00,45.41,9.85,45.41,52.765,17.31
04/02/2012 09:00,45.41,9.85,45.41,52.765,17.31
04/02/2012 10:00,45.41,9.85,45.41,52.315,17.31
